Summary,Issue Type,Priority,Labels,Description
"WorkerHub: dockerizar API con Nginx y dos instancias PHP","Task","High","workerhub,docker,backend","Dockerizar WorkerHub con Nginx balanceando a dos instancias PHP-FPM, usando una imagen compatible con SQL Server y preparada para Horizon, Kafka y Redis."
"WorkerHub: integrar SQL Server externo en entorno Docker","Task","Highest","workerhub,sqlserver,docker","Configurar el proyecto y los contenedores para conectarse a SQL Server externo usando conexiones sqlsrv y sqlsrv_admin, alineado con la convención del proyecto api."
"WorkerHub: crear comando de bootstrap para base en SQL Server","Task","High","workerhub,sqlserver,artisan","Agregar un comando artisan que valide conexión administrativa, cree la base workerhub si no existe y ejecute migraciones sobre la conexión sqlsrv."
"WorkerHub: centralizar ingreso de tareas en Laravel y publicación a Kafka","Story","Highest","workerhub,kafka,backend","Implementar endpoints en Laravel para registrar tareas, persistir trazabilidad inicial y publicar mensajes al topic de solicitudes en Kafka antes de cualquier procesamiento."
"WorkerHub: consumir solicitudes Kafka y encolarlas en Redis/Horizon","Story","Highest","workerhub,kafka,redis,horizon","Implementar consumidor Kafka que tome solicitudes desde Kafka y las convierta en jobs Laravel sobre Redis para que Horizon gestione el procesamiento."
"WorkerHub: implementar monitor persistente de tareas y eventos","Story","High","workerhub,monitoring,backend","Crear tablas worker_tasks y worker_task_events, servicios de monitoreo y endpoints para consultar listado, detalle y resumen del ciclo de vida de las tareas."
"WorkerHub: emitir eventos por sockets para monitoreo en tiempo real","Story","High","workerhub,sockets,broadcasting,monitoring","Agregar broadcasting con Laravel y Echo Server para publicar eventos worker-task.updated en canales generales y por tarea, reutilizando Redis como backend pub/sub."
"WorkerHub: configurar Echo Server en Docker para broadcasting","Task","Medium","workerhub,sockets,docker","Agregar un servicio echo-server al docker compose, con configuración generada por variables de entorno para no hardcodear host, puertos ni credenciales de broadcasting."
"WorkerHub: agregar notificaciones por fallos y completados","Task","Medium","workerhub,notifications,backend","Implementar notificaciones internas y por correo cuando una tarea falle y opcionalmente cuando complete, controlado por configuración."
"WorkerHub: integrar epsa_library para migración documental a Siesa","Story","Highest","workerhub,epsalibrary,siesa,integration","Resolver epsa_library desde Laravel y usarlo dentro del flujo document_migration para procesar migraciones documentales hacia Siesa."
"WorkerHub: documentar arquitectura, Docker, SQL Server y sockets","Task","Medium","workerhub,documentation,doctum","Documentar instalación, arquitectura, Docker, SQL Server, monitoreo por sockets y generar documentación de API con Doctum."
"WorkerHub: cubrir flujo principal con pruebas unitarias y feature tests","Task","High","workerhub,testing,phpunit","Agregar pruebas unitarias y feature para ingreso de tareas, monitoreo, notificaciones y configuración de sockets, garantizando estabilidad del flujo principal."
"WorkerHub: implementar anulación de recibos con paridad legacy","Story","Highest","workerhub,receipts,cancellation,legacy","Implementar receipt_cancellation con auditoría en siesa_web_services, sincronización de estado legacy, tratamiento de ya existe en Siesa y callback a api para notificación al usuario."
"WorkerHub: implementar anulación de pedidos con paridad legacy","Story","Highest","workerhub,orders,cancellation,legacy","Implementar order_cancellation con encabezado f430_ind_estado=9, sincronización de historial e indicadores legacy, bloqueo de reintentos innecesarios y callback a api para notificación al usuario."
"WorkerHub: implementar migración de facturas con callback a api","Story","Highest","workerhub,invoices,migration,siesa","Implementar invoice_migration extremo a extremo con prototipos, epsa_library, auditoría en siesa_web_services, estado legacy e idempotencia por existencia en Siesa."
"API: disparar migración automática para pedidos VTEX y cadenas aprobados de origen","Task","High","api,orders,vtex,cadenas,workerhub","Extender los flujos de creación automática de pedidos VTEX y cadenas para despachar OrderApproved a WorkerHub solo cuando el pedido ya nazca aprobado, sin alterar el flujo manual de aprobación."
